내용,Translated 내용
옆에서 도와주는 할머니 할아버지 이모 고모 등이 없으면 엄마는 꼼짝 못해요.어린이집 보내면 등원해있는 몇시간동안 별일 없으면 엄마는 그나마 자유 좀 생기는데요.애들은 왜 그렇게 자주 아픈지...병원을 제집 드나들듯 다니고 툭하면 아파서 못가요.저도 애낳고 이렇게 집에 들어앉을 줄은 조금도 생각못했는데...에유,"If you don't have a grandmother's aunt aunt who helps you, your mother can't get stuck.I can't go because it hurts."
진짜.... 진짜ㅠㅠ 애 셋인데 키우느라 그동안 일 못하고 이제 좀 키워놔서 일하려고 하니까 취업이 안되요......,"Really .... Really ㅠㅠ I'm three, but I can't work because I'm raising it, so I can't get a job because I'm trying to work because I have raised it a little bit."
"본질은 혼인율이 떨어진다는 것이다. 혼인 가정이 딩크로 지내는 비율은 높지 않다. 혼인 자체를 안한다는게 문제다. 천정부지로 치솟은 결혼 비용과 신혼집 마련 비용, 아끼고 살다보면 잘살수 있다는 믿음이 무너저버린 사회에서 그 누가 또 다른 생명을 책임지고 낳을 수 있을까? 애를 안낳으면 혼인은 무슨 필요란 말인가?","The essence is that the marriage rate falls.The percentage of marriage families is not high.The problem is not to be married.Who can be responsible for another life in a society where the cost of marriage, the cost of the newlywed house, and the belief that you can live well, and the belief that you can live well?What is the need for marriage if you don't have a child?"
결혼한사람이 애를 못키워서 안낳는게 아니라 아예 결혼을 안하니까 출산율이 떨어지는거임 직장이고 육아는 나중 문제고 우선은 결혼이란걸해야되는데 한국에서 결혼은 여자가 무조건 손해라 안하는거지.. 남자랑 똑같이 버는데 왜 남편 밥을 차려줘야됨? 왜 우리집엔 전부치러 사위가 미리가지 않는거지? 맞벌이면 가사일도 반씩해야되는데 절대 그렇게 반씩 할려고드는 남자는 없고 나는 손해보기싫고... 반대로 남자도 마찬가지임 내가버는돈 내가 맘대로 쓰고 싶은데 왜 결혼이란걸해서 희생해야되는건지...그냥 혼자사는게 편한데..이러니 점점 나혼자산다지,"The marriage is not because he can't grow up, but he doesn't get married at all.Why should I prepare my husband?Why don't my son -in -law go to my house in advance?If you have a double -earned family, you have to do it in half, but there is no man who wants to do it in half, and I don't want to lose money ... On the contrary, the man is the same... This is increasingly alone"
"우리나라 기자들 정말 부끄러워 해야 할 듯. 외국 기자도 남의 나라 와서 1년씩 머물며 심층보도를 하는데, 이나라 최고 중대 사안 중 하나인 저출산 문제에  대한  한국 언론의 표피적 수준의 보도를 보면 왜 한국 여자들이 애를 안나는지를 간접적으로 시사하는 것이다.","Korean journalists should be ashamed.Foreign journalists also come to another country and stay in -depth for one year, and indirectly suggesting why Korean women are not struggling by looking at the Korean media's epidemic level of low birth rate, one of the biggest major issues in the country."
전업주부를 그렇게 개무시하고 홀대하는데 애를 낳고 싶겠냐,Do you want to have a child to open and neglect the full -time housewife like that?
"워킹맘이 제대로 일할 수 있는 북유럽 국가들이 어떻게 하는지 보고 배우면 될텐데, 이런 얘길하면 얼씨구나하고 북유럽 출장가서 실컷 놀고 구경만 하다가 돌아오겠지 공뭔들은",You can learn what the Nordic countries where Working Mom can work properly and learn how to do this.
"지금은 여성들도 워킹맘들이 많아졌다 한국은 유독 여성들이 혼자만 애를 만들었나 싶으리 만치 혼자서만 육아 하랴 집안 살림 하랴 이리 저리 뛰어다니면서 육체적으로 정신적으로 힘들다 
육아도 집안 일도 공동으로 해 나간다는 개념이 많이 모자라는 한남들 이다 
이러 저러한 출산 하지 않는 핑계들이 있지만 젤 큰 요인은  앞의 일들을 공동으로 해 나가는 게 아니고 여성에게 떠 넘겨진 무게가 감당하기에 넘 벅찬 이유 일 것 이다 한남들은 공동 이란 개념 보다 집안일을 남의 일 처럼 도와준다고 한다 자기 집안 일을 도와준다는 게 웃기지 않나","Now, women also have a lot of walking moms. Korea is a toxic woman alone.
There are a lot of shortages that parenting and household work will be jointly.
There are excuses that do not give birth, but the big factor is not to do the previous work, but the weight handed over to women.Isn't it funny to help your family work?"
결혼2년차인데 결혼 후 거주지 이전으로 회사 그만두고 집 근처로 알아보는데 면접 가면 항상 애는 언제 낳을 생각이냐 출산계획 있냐부터 물어보는데..누가 낳고 싶겠어요..,"It's the second year in marriage, but after marriage, I quit the company and find out near my house."
"여성의 날이 있는지도 몰랐잖아^^ 여성들이 사실상 출산파업, 결혼불매중입니다. 결혼해서 좋은게 있어야하는데 ^^  좋은게 업죠? 그렇게 여자 이기적이라고 계속 하세요.  이제 그거 효과도 없어요.",I didn't know that there was a woman's day ^^ Women are actually married.There should be something good to get married ^^ Good things up?Keep it as a woman selfish.It doesn't work now.
"""저출산 문제는 복잡하고 어려운 문제지만 여성들의 말에 귀를 기울이고 그들의 목소리를 논의의 중심에 놓는 것이 필수다""라고 되어있는데 댓글창 통계는 아저씨들만 한가득이네 이게 무슨..","""The low birth rate is a complicated and difficult problem, but it is essential to listen to women's words and place their voice at the center of discussion."""
다 아는데 정부와 한국 남자들만 모름,"I know everything, but only the government and Korean men do not know"
이 기사에도 본문은 들은척도 안하고 조현병 걸린것처럼 지말만 맞다 우기는 30대 40대 50대 남자들 저출산은 당신들이 만든 패착입니다 여자탓 그만하고 기술 발전 시켜서 남자인 니가낳아^^,"In this article, the text is not pretending to be heard and schizophrenic."
다 남자들이 여자들과 똑같이 육아와 가사일을 하지 않기때문이고 사교육으로 나의 노후와 행복한 삶을 누릴수 없기때문..결국 여성만 일방적인. 희생을 하는시대가 아님을 보여주는 현상일뿐,"Because all men do not do parenting and households like women, and private education can't enjoy my old and happy life.It is only a phenomenon that shows that it is not an era of sacrifice"
아이 있으면 부모 모두 법적으로 하루 4-6시간만 근무하도록 하자. 주의무 근무시간 30시간제한하면 좋을텐데.,"If you have a child, all your parents should work legally 4-6 hours a day.It would be nice to limit 30 hours of working hours."
"결혼의사 있고 출산 의사 있는 여성들이 경력 포기 안하고도 애 잘 키울수 있게 해야 해요. 성공적인 유자녀 커리어우먼 롤모델이 많아지면 생각없던 분들도 낳고 싶지 않겠어요? 유자녀 부모 중 한 명에게 임금삭감 없이 출퇴근시간, 예를 들면 10시 출근 3시 퇴근 이렇게만 법으로 못박아주면 다들 낳으려 하죠. 맞벌이는 해야하고 애는 아침일찍부터 저녁까지 어린이집.. 모성애는 무너지고, 도우미를 쓰자니 월급받는 거 쏟아부어야지, 학대도 걱정되지, 누가 애 낳고 싶겠냐구요. 둘째 낳으려다 그러면 회사 못 다닐거 같아 포기한 1입니다.","Women who are willing to marry and give birth to childbirth should be able to grow well without giving up their career.If you have a lot of successful citizens' career women's role models, you won't want to have any thoughts?One of the parents of the citizen's parents will not be able to commute to commute without wage cuts, for example at 10 o'clock, at 10 o'clock.You have to work, and the child should be a daycare center from early in the morning to evening. Maternity is broken, and when you use a helper, you have to spend your salary.If you try to give birth, you can't go to the company."
육아하면서는 전공 살리기는 커녕 시급 알바조차도 등ㆍ하원 시간에 안 맞아서 구하기도 어렵다,"Rather than saving your major while childcare, even an hourly salary Alba is also difficult to get it because it is not suitable for the back or household time."
노인정 지원보다 마을 공동육아가 훨씬 미래지향적일것!,Village joint parenting will be much more future -oriented than the elderly support!
이게 바뀔거라고보나 ㅋㅋ 이미 한국의 기업과 개인의 근로 기준은 새마을운동시기에 맞춰져있다. 이걸 기반으로 크게 성장했지만 이걸로 망할거다. 이미 제대로 사람을 굴려서 순수익을 내던 기업들이 순이익을 파격적으로 모두가 줄일일도 없고 정부가 제제할 수 있는 방법도 없다. 주4일을 해봤자 주5일일을 4일에 한다는 말에 무릎을 탁친다. 현실은 주6일의 근무량이지 ㅋㅋ 내가 평상시에 취미등 개인시간을 충분히 즐길여유는 되어야 아이도 낳겠다는 생각이드는거다. 쉴시간도 놀시간도없는 나라에서 출산?ㅋㅋ정부지원이ㅜ아니라 일문화가 다바뀌어야된다,"This will change.It has grown significantly based on this, but it will be ruined.Companies that have already rolled out people and made net profit will not be able to reduce their net profit, and there is no way for the government to form.After four days of week, I have a knee saying that I do it five days a week for four days.The reality is the 6 -day workload.In a country where there is no time to relax or play, the government support should change, not the government support."
제대로 대접 받지 못하는데 누가 남의 집에 애 나주러 시집가겠습니까? 내 자식 나아서 길러주는 아내를 하늘 떠 받치듯 받들어도 애를 나을지 말지 고민일텐데~ 배우자는 인생의 동반자입니다. 서로 고통을 분담하고 도와줘야 서로 행복할 수 있는겁니다.,"If you are not treated properly, who will be married to someone else's house?Even if you put your wife better and raises your child, you may be worried about whether or not you will be struggling.You have to share and help each other to be happy with each other."
솔직히 이미 늦었다고 봄... 저런 가부장적이고 여성희생적인 문화는 어머니 세대에서 바뀌었어야 했음. 하지만 딸들은 어머니가 얼마나 가부장 시대에 희생했는지 다 보고 자랐고 어머니들도 딸들에게 너는 결혼하지 말고 혼자 살라고 한다 혼자 살아서 하고싶은거 다 하고 여행다니면서 살라고...,"Honestly, it's too late ... The patriarchal and female sacrificial culture should have been changed in the mother generation.However, daughters grew up seeing how mothers sacrificed in the patriarchal era, and mothers told me not to marry and live alone."
차타고 여행다녀보면 이땅에 오천만 너무.많타. 식량 문제도 잇고.줄여야함,"If you go on a tea trip, there are so many million in this land.There is also food problem."
"한국에서 혼인율은 떨어질 수 밖에 없다. 과거에는 여성들의 대학진학율이 10% 이하이고, 좋은 일자리는 대부분 남성들이 차지하고 있으므로 그냥 좋은 남자한테 취집하면 되었다. 지금은 남성들이 차지했던 좋은 일자리의 상당수를 여성들이 차지하고는, 거기에 걸맞는 더 좋은 배우자를 찾으려 하는데 해당하는 남자가 비율로는 확 줄게 된 것이다. 그렇다고 대충 결혼할 수도 없다 보니 버티다 버티다 만혼을 하든가 비혼으로 귀착된다. 그 사이에 부동산.생활수준은 이미 왕창 올랐고, 이러니 맞벌이 아니면 생활수준을 유지할 엄두도 안나고.","The marriage rate in Korea is bound to fall.In the past, women's college entrance rate was less than 10%, and most of the good jobs were occupied by men, so they just worked with a good man.Now, women occupy a large number of good jobs that men have occupied, and they are trying to find a better spouse that suits it.However, since I couldn't get married, I ended up with a marriage.In the meantime, the standards of real estate and living have already climbed, and I can't keep up with double income."
"아침부터 저녁까지 쉴새없이 육아와 살림하고 얼집 보낸사이에 그나마 재택근무라도 하고, 집에오면 퇴근한 남편 밥 챙기고 뒷정리하니 밤이 되어서야 자리에 앉아보는 날이 하루 이틀이 아니지만.. 복직때문에 갓 100일 넘은 핏덩이를 남의 손에 맡기는 엄마들도 많아 저는 좀 나은 편입니다. 6개월이라도 육아휴직을 의무로 아빠들에게 줄 수는 없는건가요? 출산시 몇억을 준다보다 6개월간 아이와 아빠가 애착형성 하면서 월급 100%주는게 더 필요합니다 엄마도 사회에 돌아갈 준비운동을 하게 해주세요..ㅠ","From the morning to the evening, I had to live with my childcare and spend, but I worked home.I have a lot of mothers who leave the blood in the hands of others.Can't I give my dads for missionary leave for six months?It is necessary to give 100%of the monthly salary while the child and dad are attached for six months rather than giving billions of times when they give birth."
그렇게 힘든데도  반려견.반려묘  열심히 키우더라.,"Even though it was so hard, I raised my dog."
그냥 개인주의 내 애보다는 내가 더 중요하고 힘든 거 하기 싫어서야,I just don't want to be more important and hard than my child.
근데 진짜 아이 여럿 키우느라 오랜시간 경력단절된 여성분들 취업에서 합격하기 어려운 경우 많이 봄,But if it is difficult to pass in employment in women who have been cut off for a long time while raising several children
"평생직장, 해고가 어려운 고용구조, 강력한 기득권 노조가 원인중 하나군요. 사실 육아는 아빠보다 엄마가 더 잘하는 편인데, 제 주위에도 좋은대학 나온 여성이 자녀 출산으로 퇴직하고 육아후 재취업 하려 했지만, 거의 대부분 정직원은 되지 못하고, 계약직으로 여기저기 전전하는게 현실이지요.","One of the reasons for lifelong jobs, employment structures that are difficult to dismiss, and strong vested interests.In fact, parenting is better than my dad, but a woman who came out of me was retired from childbirth and re -employed after childcare, but most of them are not full -time employees."
"티비에 나혼산 미우새...등등, 먹거리만 강조하는 프로들... 안행복한 가족치정 드라마들...도대체 뭘 말하고 있나? 나만 즐겁자 아냐? 
반성해라...

.","On TV, Nahonsan Miu Birds ... and so on, etc.Isn't it just me?
Reflect ...

."
"여성에게만 지우는 출산의 굴레, 경력단절 비롯 임금협상도 안되고 눈칫밥주고 채용자체도 안되고 살기 힘든데 어떻게 출산을 하겠냐구요 고위공직한남들 책임져야함","The bridle, career disconnection of childbirth that is only erased to women is not negotiated, wage negotiations, not hiring, and it is difficult to live. How do you give birth?"
"1년이나 조사한 사람 맞나... 맞벌이 부부.반반결혼이 많아졌는데 출산과 육아를 온전히or 대부분 감당하는 현실에 이럴꺼면 혼자살고 애키우지!!! 싶어서 이혼하려고 보니까 애 양육비 쌩까도 강제할 방법도없고 해봤자 몇년을 법원 다닌끝에 결론은 사업,개인프리랜서,뭐배달,운송 등등 하는 사람들 소득 적게 잡혀서 애 하나에 양육비 어거지로 받아내도 50만원? 그 돈 받고 애 엄마가 일다니면서 애 맡기기 어려우니까 이혼도 어렵고(그와중에 이혼율50%) 그냥 애낳으면 인생 나락갈 확률 80퍼 안고가야","If you have been investigating for a year ... Double -earned couples.I want to divorce, so I have no way to force my child support, and I have done it for a few years.It is difficult to divorce (50%divorce rate in the meantime) because it is difficult to leave the mother's mother (50%of the divorce rate in the meantime)."
"아이를 평범하게 키우지 않고 해주고 싶은거 다 해주고 내가 못한거 대신 해주기를 바라니 돈 부담이 크지. 그리고 법으로 장해진 육아휴직 사용하는 것도 눈치봐야하고 그 육아휴직도 대기업, 공무원이나 혜택 있지 대부분의 직장인에게는 딴 세상 얘기.","I want to do everything I want to do without raising my child, and I want you to do it instead.In addition, it should be noticed that the law of parental leave is used by law, and the parental leave is also a different world for large companies, civil servants, or benefits."
애봐주는 것도 문제지만 사교육 학군지집값도 문제. 어릴땐 시간이 크면 돈이 문제,"It is also a problem to see a child, but the price of a private education school district is also a problem.When you are young, money is a problem"
커리어를 지키려면 하나를 포기할수밖에 없겠죠  부모 이모 고모 가 도와줘도 배우자의 공동육아와 배려없이는 감당하기힘든 사회이니까요   도와주는게 아니라 같이하는 공동육아와 같이하는 가정생활이 있어야 합니다,"If you want to keep your career, you have to give up one. Even if your aunt's aunt helps, it's hard to handle it without a spouse's joint parenting and consideration."
저출산기사에서 허구한날 자국 여자 욕하다가 외국인 외신기자가 맞말하면 이 악물고 못본척 못들은척 하는 한국 인셀남들 ㅋㅋㅋ,"On a fictional article on a low birthrate article, a foreign reporter who was cursed by a woman who was fictional on a fictional day."
20대 중반인데 지금 애 안 낳는 게 문제가 아님ㅋㅋ 연애 조차도 안 하려고 함 내 주변에 연애하는 애들? 1~2명임 남친 안 만들고 싶어함 자발적 모솔도 꽤 보임 옆나라 일본은 성병 때문에 난리인데 우리나라는 여자들이 아무도 안 만나려고 함 진짜 이거부터 해결해야해,"I'm in my mid -20s, but it's not a problem to not have a baby now.I want to make one or two boyfriends."
다른 기사도 그렇고 외신기자가 한국여성에게 직접 물어봐 취재한 기사를 40대 남자 71프로가 댓글달고 있는 이 상황.. 이렇게 상세히 심층취재했음에도 딴소리만 하고있고 미래가 없네,"In addition to other articles, foreign reporters asked Korean women directly."
안 바뀔 거임 이건 남자들 생각이 바껴야 하는데 지금도 여자가 편하다 🐕 소리 하니까 저출산으로 망하는 나라의 대표적 나라가 될 거라 봄,"It will not change, but the thoughts of men should be changed, but even now, the woman is comfortable."
아직까지 포괄임금제가 있는 거지같은 나라라서. 하루쉬면 임금 깍는 기업들이 존재하는 나라여서.,There is still a comprehensive wage system.It is a country where there are companies that are wage cuts in one day.
ㅋㅋㅋㅋ 댓글들 대단하다 남자들이 헐레벌떡 뛰어와 지껄이는 댓글 하나하나 킬링포인트임 이런 나라에서 저런 남자들과 결혼하고 애 낳고 하는 여자들 존경스럽습니다,ㅋ ㅋㅋㅋ The comments are great.
여성의 날 기념 행사에서 한 발언이고 대놓고 여성의 말을 들어야 한다는데 진짜 여기 댓글만 봐도 귓등으로도 안 들음,"It is a remark at the Women's Day commemorative event, and I have to listen to the woman."
"맞는말입니다.  10시춮근 4시, 5시 퇴근이 보장되면 그나마 애 키울수있습니다. 10-5시여도 환장하게 힘들지만. 밥챙기기 병원 갈때마다 눈치보기 해야할일은 수십만가지지만 스나마 9-6 아닌게어디냐하며.","That's right.If you guarantee the work of 10 o'clock at 4 o'clock, you can be struggling.It's hard to do it even if it's 10-5.Every time I go to the hospital, I have hundreds of thousands of things to see, but it's not 9-6."
한남빼고 다 아는 저출산 이유 육아독박 ㅎㅎ,The reason for the low birth rate that I know except for Hannam haha
요즘엔 결혼하고 애 낳으면 그걸로 인정받음. 결혼을 유지할 정도의 인성과 배려..이해심이 어느정도 있다는거고 아이를 가질만큼 경제적 여유도 있다는 뜻임.. 내 주변 사람들도 성격 좋고 돈많은 사람들은 대부분 결혼해서 애있음.. 이제 결혼은 본인이 선택하는게 아니라 자격이 되는 사람이 선택하는게 되어버림. 결론은 돈도 없고 성격도 별로고 희생할 생각도 없으면 혼자 살다 죽어야 한다. 그런게 저런 사람이 결혼해서 애를 낳으면 인생이 지옥이 되는거임..,"Nowadays, if you get married and have a baby, you will be recognized as it.Humanity and consideration to maintain marriage .. It means that there is some understanding of understanding, and it means that there is an economic room to have a child.Not a qualified person chooses.The bottom line is that you have no money, you don't have much personality, and you have to live alone and die if you don't want to sacrifice.If that person is married and have a child, life becomes hell."
"그러니 우리나라 출산률감소에 대해 탁상공론만이여지실제  현실의 실상을 파악조차 해보지도 않았다는얘기 18년동안 380조원의 재정을 탕진하면서 출산률은 계속감소 
이런 정치를 하는인간들 전문가들 대체 뭣들하는거요","Therefore, the discussion of the desktop theory that only the desktop theory has not even identified the reality of the real reality of the decrease in the birth rate of Korea, and the birth rate continues to be reduced.
Humans who do this politics"
외국인도 아는걸,I know foreigners
"여성해방으로 여성은 육아도, 노동도 할수있게되었다.무엇으로부터의 해방인가?",Women's liberation allows women to nor parenting and labor. What is the liberation from?
자기 살기도 버거운데 애낳는건 무책임한짓이다,"It's too hard to live, but it's irresponsible to give birth."
돈 많고 출세한  배우 가수 연예인 의사 약사  스포츠 스타들도 반려견만 키우고 결혼도 않고 아이도 안 낳는다.  왜?  혼자만 즐기며 살려고 ㅡㅡ아닌가?  정부는 소득 연령 따지지 말고 아이낳는  여성들에게 파격적 대우를 해주라.  미혼세를 도입하고 반려동물에 대한 세금도 중과해라.  고소득자의 비혼세도  부과하라. 그 재원으로 아이 낳는 애국자들 돌보자,"A lot of money and a successful actor singer celebrity pharmacist sports stars raise their dogs, they don't get married or have children.why?Isn't it to live alone?The government does not take the age of income, but treats women who are born.Introduce unmarried taxes and pay taxes on pets.Impose a high -income tax.Let's take care of the patriots who give birth to the children"
한국정부 요직인사들보다  더 잘 꿰찬 기사다. 한국은 남성우월주의로 여성들의 발목을 잡고. 더욱 심각한건  이나라의1%를 위한 정책들 뿐이란거다.,It is a better article than Korean government officials.South Korea holds women's ankles with male supremacy.What's even more serious is the only policies for 1%of the country.
"아이를 안낳는 현상은 전 지구적 현상이다. 지난 십여년동안 세계인구는  60억에서 80억으로 늘었다.세계인구가 넘 많다.  그래서 자연스런 현상이다.  기후위기, 탄소위기 친환경...등...
세계적인 이슈들의 해결방안중  가장 좋은 방법은  세계인구를  40억쯤으로 만드는 것이다.
이것이 타노스가  손가락을 튕겨야 하는 운명이었다.","It is a global phenomenon that does not give birth to a child.Over the past decade, the world's population has increased from 6 billion to 8 billion, with a large population.So it is a natural phenomenon.Climate crisis, eco -friendly carbon crisis ...
The best way to solve global issues is to make the world population into about 4 billion.
This was the fate of Tanos to bounce his finger."
ㅋㅋㅋㅋㅋ 댓글이 이 기사를 완성시켜줌 현대예술이여 아주ㅋㅋㅋ 과학이 발달돼서 꼭 한국 남자들이 임신하고 출산하는 날이 오길 기도하겠습니다~!~~!!,ㅋㅋ ㅋㅋㅋ Comment Completes this article. Modern art is very lol.
결국은 먹고 살기 힘들어서 안낳거나 못낳는거임. 이게 뭐 정책적으로 해결이 될라나 모르겠네...,"In the end, it is hard to eat and live.I don't know what this will be resolved by policy ..."
학창시절 학업스트레스에 시달리고 취업하느라 경쟁에 시달리고 인구 줄어드는게 다음 세대에게는 더 좋을거야,It would be better for the next generation to suffer from academic stress and to get a competition and to reduce the population.
엄마인 나도 내딸에게 지금의 현실이라면 낳지마라고  말리고싶다. 워킹맘의현실 독박육아 남편이도와주는게 아닌 같이하는마인드가 아니면 낳지마라고 얘기해주고 싶은 심정이다. 독박육아 내일을하는건 엄두도 못내는현실 저출산국가 인구소멸 당연한 결과이다 현실에 맞지않는  저런정책  아무리쏟아내봐라 . 이언현실에선 아이 출산은 절대  선택하지 않을것이다.,"My mother, I want to tell my daughter not to give birth if it is the reality.I would like to tell you that I don't give birth unless it is a mind that I do not come to the working mom's husband.It's a natural result of the fact that it's hard to do it tomorrow.In Ion's reality, childbirth will never be selected."
아버지 될 남자들이 돈을 충분히 벌지 못한다는 거임.,The men who will be able to earn enough money are not enough to make enough money.
"사회가 살기 힘드니까 애를 못낳는거임다들 주 32시간제 이런 상황이면 출근하고 4시 퇴근해서 여유로우니 나 말고 남을 챙길 생각도 나고 그러면 연애도하고 결혼도 하는거지
나 사는것도 힘들어죽겠는데 옆자리는 출산휴가 육아휴직 유연근무제한다고 일찍가고 맨날 쉬네? 이러면 다들 짜증나는거임
애낳지 않는 사람도 시차출퇴근제 연차 같은거 자유롭게쓰고 하면 오늘은 빨리가시는구나 하고 말걸","It's hard to live, so it's hard to live.
It's hard to live, but the next seat is a maternity vacation parental leave.If you do this, everyone is annoyed
Even people who do not give birth will go to the time of the time of time commuting, and if they are free to go today, they will go soon."
한국인은 가부장제 문화와 함께 사라질거임 대한민국은 다인종 다문화 국가가 될 거고 그만큼 다양성도 많아지겠지 오히려 좋다고 본다,Koreans will disappear with the patriarchal culture.
"잘은 모르지만, 예전에는 대가족이며 공동체였다.우리 애들을 돌봐줄 삼촌,이모, 할머니, 할아버지 또는 이웃들과 함께 돌봐주곤 했는데, 지금은 전부 개개인이다.
나라에서는 돈만 더 주겠다. 유연근무를 하겠다. 하지만 실상은 그 돈으로 돌봄을 불러도 사람 구하기 어렵고, 유연근무를 해도 일을 다 못하면 자택에서 해야하고, 너무 쉽게 생각한 정부이다. 생각하는 방식, 시스템을 바꿀 생각은 안하는지, 탁상공론만 할꺼면 애를 안 낳는것도 당연하고 개인의 삶도 존중해줘야 한다.","I don't know, but I used to be a large family and community, and I used to take care of my uncle, aunt, grandmother, grandfather, or neighbors who would take care of our kids.
I will give you more money in the country.I will work flexible.However, in reality, it is difficult to find people even if it cares for it, and even if you work flexibly, you have to do it at home if you can't work.If you don't think about changing your system, or if you are going to be a desktop, you should not have a hard time, and you must respect your personal life."
병행할수가 없는구조다. 아이를 맡길 곳도 아이가 아플때 바로 달려갈수도 없는데 직장 생활과 육아병행이 힘드니 한가지를 선택해야 하는데 결혼도 힘든데 거기에 커리어를 포기해야 할지도 모르고 돈이 너무 많이 드니. 참.,"It is a structure that cannot be combined.I can't run a child or I can't run right when I get sick, but I have to choose one thing because I have a hard time working and childcare. It's hard to get married.really."
저런 게 기자라고. 한국 여자들만 만나서 인터뷰를 하니 엉뚱한 답이 나오지.,That's a reporter.Only Korean women meet and interviews.
그럼 80년 90년대 한국 여성들은 어떻게 애를 낳았을까^^,So how did Korean women in the 1980s 90's?
한국은 결혼하면 집이 없음. 집을 사면 30년 은행노예됨. 그것만 해결해도 0.9까지는 갈낀데 이대로 방치하면 0.5 금방 깨진다.,"Korea does not have a house when you get married.If you buy a house, you are expected to be a bank for 30 years.Even if you solve it, you will be up to 0.9, but if you leave it like this, it will be broken 0.5 quickly."
"진짜 헛다리 거하게 짚네. 낮은 출산률의 근본원인은 남자들이 결혼을 기피하는 풍조가 생겼다는 것에 있음.  여자들은 상향혼한뒤에 전업주부로 살고 싶어하는데 그 눈높이에 맞는 남자수가 애초에 적은데다, 심지어 그 남자들도 굳이 결혼을 해야되는 큰 유인동기가 없으니 거기서도 일부만 결혼하게 됨. 이런 추세는 통계로 정확히 나타남. 결국 여자들의 눈을 낮출 방법을 찾던가, 눈높이에 맞는 남자수를 늘릴 방법을 찾던가, 남자들이 결혼하고 싶은 유인동기를 늘릴 방법을 찾던가 해야됨.","It's really good.The root cause of low birth rate is that men have a trend to avoid marriage.Women want to live as a full -time housewife after they go up, but there are few male numbers that fit the eye level, and even those men have no great incentives to get married.This trend appears exactly by statistics.After all, you should find a way to lower the eyes of women, find ways to increase the number of men at the eye level, or how to increase the motivation for men to marry."
얘는 여자 혼자 낳는것이 아님. 출산보다 결혼을 안하는 이유부터 찾는게 맞음. 결혼은 남성의 결심이 필요로 하죠. 여성인권만 강조해 봤자 노답임.,This is not a woman alone.It is right to find the reason why you are not married than childbirth.Marriage requires a male decision.Only women's human rights are emphasized.
애 보다는 자신의 삶이 더 더중하니깐 애 안낳는거야 말못하고  사료나 먹는 개나 고양이나 키우고,"My life is more greater than a child, so I don't know that I can't say it."
"여자는 먹고 살만하면 혼자  살거나늦게 결혼 한다. 늙은 여자의 출산율과 우영우 출산  가능성  때문에
당연히 출산율 개박살 나지.
자유연애도 남자들의 결혼에 대한
책임감도 줄었고, 친자불일치율
세계1위, 이혼율 세계1위, 여자 혼수비용 3천 남자 3억, 이혼할때
재산분할 50%,  요즘 누가 한녀랑 결혼 하나, 혼자 사는게 행복이다.","Women live alone or get married late if they eat and live.Because of the birth rate of old women and the possibility of birth
Naturally, the birth rate is killed.
Freedom love is also about the marriage of men
Responsibility was also reduced, paternity mismatch rate
The world's No. 1, divorce rate, the world's No. 1, women's coma cost 300 million men, when divorced
50%of property division, who marries a woman these days, and living alone is happiness."
여기 여자들은 여자 구실도 안하니 니들이 다 데려 가라. 지금 그 족속들은  다 페미들이니.,"Women here don't even have a woman, so take it all.All those nations are feminine."
애도 안낳는데 이제 여자도 군대보내라.,"I don't even have a child, but now I have a woman."
웃기고 있네. 좌파깽꺵정권에서 중공세력 끌어들여 부동산시장 개판만들어 놓은 결과지.,It's funny.The result of the real estate market opened by attracting Chinese forces from the left -handed regime.
시대가  많이 바꿨다! 요즘 남자들 집안일 육아 안하면 같이살지도 않아! 이혼감이다!,"The times have changed a lot!These days, men don't live together if they don't care for household chores!Divorce!"
"좋은직장이 없는데 어떻게 결혼하냐. 결혼부터 안한다. 공무원 공기업 정년을 한시적으로 50세로 통일해서, 일자리 물려주기 대국민 운동을 벌여야한다","How do you get married when you don't have a good job?Do not get married.It is necessary to unify the retirement age of public officials at 50 years of age, and to carry out the public movement to pass on jobs."
"유연한 근무시간, 배우자도 같이 육아하고, 가정과 일 중 하나를 선택하지 않아도 되는  이게 어렵나?","Is it hard to have a flexible working hours, spouses, parenting, and not having to choose one of the families and things?"
아이 출산율 떨어지는비율은 결혼율이랑 비교를 해야지 아기는 엄마 혼자만 나나요? 독박육아.캐리어단절등 이야기하는데 아이 출산율 떨어지는 가장 큰원인은 솔직히 갈라치기로 인한것과 내집마련 힘든것도있고 결혼시 요구되는 눈높이 수준이 높아지니 남자든 여자든 결혼을 포기하는게 가장 크죠. 결혼을 포기하니 애를 안낳고 결혼해도 부담되니 딩크족되고 이혼율도 늘어나고 마치 남자가도와주지않으니 여성이 선택해서 애 출산율이 떨어졌다라는 이분법은 안좋은듯하네요.,"The rate of falling child birth rate should be compared with the marriage rate.The biggest cause of the child's childbirth rate is to be honestly due to the division and the difficulty of preparing the house, and the level of eye level required for marriage is the largest to give up marriage.When I give up my marriage, I can't get married and I get married, so I can't get the divorce rate, and I don't come to a man."
